Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1/2/14,155.887692,155.9639595,154.6167302,154.9895477,119636900,2,3,1,1,2014
1/3/14,155.2521164,155.5656289,154.7437398,154.964035,81390600,3,4,1,1,2014
1/6/14,155.4725071,155.5318119,154.2778,154.5150452,108028200,6,0,2,1,2014
1/7/14,155.1335703,155.7266831,155.0149477,155.4640198,86144200,7,1,2,1,2014
1/8/14,155.438546,155.760527,154.9640559,155.4978638,96582300,8,2,2,1,2014
1/9/14,155.9978298,156.0147796,154.8878587,155.5995941,90683400,9,3,2,1,2014
1/10/14,155.8621876,156.0909642,155.0657166,156.0231781,102026400,10,4,2,1,2014
1/13/14,155.625023,156.0571453,153.6507943,153.9473572,149892000,13,0,3,1,2014
1/14/14,154.4556961,155.7097207,154.1676146,155.6249847,105016100,14,1,3,1,2014
1/15/14,155.9893008,156.7010359,155.6588514,156.4637909,98525800,15,2,3,1,2014
1/16/14,156.1418602,156.4638413,155.7605744,156.2604828,72290600,16,3,3,1,2014
1/17/14,155.9893614,156.2859113,155.3284624,155.5995941,107848700,17,4,3,1,2014
1/21/14,156.4977478,156.5570656,155.0996951,156.0571442,88621200,21,1,4,1,2014
1/22/14,156.3197735,156.3875596,155.8283335,156.158783,61270900,22,2,4,1,2014
1/23/14,155.3707887,155.3962069,154.0574723,154.8793488,132496900,23,3,4,1,2014
1/24/14,153.8710844,153.9219208,151.5240385,151.5748749,208677100,24,4,4,1,2014
1/27/14,151.7188839,152.108651,150.0751052,150.8292084,180843100,27,0,5,1,2014
1/28/14,150.939414,151.9222942,150.9224642,151.727417,110463200,28,1,5,1,2014
1/29/14,150.4648814,151.2867708,149.8717687,150.2700043,216597300,29,2,5,1,2014
1/30/14,151.5240581,152.3544162,151.0410865,151.8629761,118938100,30,3,5,1,2014
1/31/14,149.9819334,151.9137939,149.9056788,150.9732819,194677900,31,4,5,1,2014
